web-scraper-order,web-scraper-start-url,Deck-Selector,Deck-Selector-href,Card-Selector,Card-Selector-href,Card-Name
"1727115012-1","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=54974237","Eradicator Epidemic Virus"
"1727115014-2","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=75190122","Dark Burning Magic"
"1727115016-3","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=79816536","Summoner's Art"
"1727115018-4","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=1784686","The Eye of Timaeus"
"1727115020-5","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=98502114","Dark Paladin"
"1727115022-6","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=75380687","Amulet Dragon"
"1727115024-7","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=26082117","Gagaga Magician"
"1727115027-8","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=7198399","Chocolate Magician Girl"
"1727115029-9","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=89312388","Elemental HERO Prisma"
"1727115031-10","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=38033125","Dark Magician Girl"
"1727115034-11","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=75574498","Princess Cologne"
"1727115036-12","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=581014","Daigusto Emeral"
"1727115039-13","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=76067258","Number 66: Master Key Beetle"
"1727115041-14","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=84013237","Number 39: Utopia"
"1727115044-15","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=56840427","Number C39: Utopia Ray"
"1727115047-16","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=56832966","Number S39: Utopia the Lightning"
"1727115050-17","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=85551711","Ebon High Magician"
"1727115052-18","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=96471335","Ebon Illusion Magician"
"1727115055-19","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=80117527","Number 11: Big Eye"
"1727115057-20","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=91949988","Gaia Dragon, the Thunder Charger"
"1727115060-21","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=22110647","Mecha Phantom Beast Dracossack"
"1727115062-22","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=16037007","Number 74: Master of Blades"
"1727115065-23","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=44405066","Red-Eyes Flare Metal Dragon"
"1727115068-24","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=41147577","CXyz Simon the Great Moral Leader"
"1727115071-25","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=6387204","Number C6: Chronomaly Chaos Atlandis"
"1727115073-26","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=82732705","Skill Drain"
"1727115076-27","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=48680970","Eternal Soul"
"1727115079-28","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=9287078","Dark Renewal"
"1727115081-29","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=7922915","Magician Navigation"
"1727115084-30","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=67775894","Wonder Wand"
"1727115087-31","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=47222536","Dark Magical Circle"
"1727115089-32","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=73616671","Illusion Magic"
"1727115092-33","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=69542930","Dedication through Light and Darkness"
"1727115095-34","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=111280","Dark Magic Expanded"
"1727115097-35","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=82404868","Dark Magic Veil"
"1727115099-36","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=2314238","Dark Magic Attack"
"1727115102-37","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=1475311","Allure of Darkness"
"1727115104-38","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=23434538","Maxx ""C"""
"1727115107-39","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=7084129","Magician's Rod"
"1727115109-40","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=423585","Summoner Monk"
"1727115112-41","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=25280974","Legion the Fiend Jester"
"1727115114-42","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=28985331","Armageddon Knight"
"1727115117-43","https://ygoprodeck.com/deck-search/?sort=Deck%20Views&offset=0","Dark Magician (via EDGE515) V0.2","https://ygoprodeck.com/deck/dark-magician-via-edge515-v0-2-513","","https://ygoprodeck.com/card/?search=35191415","Magician of Dark Illusion"
