Deck-Selector,Card-Name
1st Place Exosister Deck 2022,"['Non-Fusion Area', 'Ghost Reaper & Winter Cherries', ""Elder Entity N'tss"", 'Divine Arsenal AA-ZEUS - Sky Thunder', 'Downerd Magician', 'Exosister Gibrine', 'Exosister Asophiel', 'Exosister Kaspitell', 'Exosister Mikailis', 'Exosisters Magnifica', 'Solemn Strike', 'Exosister Vadis', 'Exosister Returnia', 'Necrovalley', 'Exosister Arment', 'Exosister Pax', 'Exosister Carpedivem', 'Dimension Shifter', 'Exosister Irene', 'Exosister Elis', 'Exosister Stella', 'Exosister Sophia', 'Exosister Martha']"
BLUE-EYES DECK 2018,"['LANphorhynchus', 'Hip Hoshiningen', 'Blue-Eyes Spirit Dragon', 'Azure-Eyes Silver Dragon', 'Black Rose Moonlight Dragon', 'Cloudcastle', 'Galaxy-Eyes Cipher Blade Dragon', 'Number 95: Galaxy-Eyes Dark Matter Dragon', 'Galaxy-Eyes Full Armor Photon Dragon', 'Galaxy-Eyes Cipher Dragon', 'Blue-Eyes Twin Burst Dragon', 'The Ultimate Creature of Destruction', 'Trade-In', 'Bingo Machine, Go!!!', 'Soul Charge', 'Monster Reborn', 'Called by the Grave', ""Silver's Cry"", 'The Melody of Awakening Dragon', 'Ash Blossom & Joyous Spring', 'Arkbrave Dragon', 'The White Stone of Legend', 'The White Stone of Ancients', 'Master with Eyes of Blue', 'Sage with Eyes of Blue', 'Blue-Eyes Solid Dragon', 'Dragon Spirit of White', 'Blue-Eyes Alternative White Dragon', 'Blue-Eyes White Dragon', 'Blue-Eyes White Dragon', 'Blue-Eyes White Dragon']"
BLUE-EYES deck 2021,"['Monster Reborn', 'Reasoning', 'Five-Headed Dragon', 'King of the Swamp', 'Neo Kaiser Glider', 'Draco Masters of the Tenyi', 'Galaxy-Eyes Cipher Dragon', 'Galaxy-Eyes Full Armor Photon Dragon', 'Galaxy-Eyes Cipher Blade Dragon', 'Galaxy-Eyes Cipher X Dragon', 'Neo Blue-Eyes Ultimate Dragon', ""Harpie's Feather Duster"", 'Arkbrave Dragon', 'Blue-Eyes Solid Dragon', 'Dragon Spirit of White', 'Nibiru, the Primal Being']"
Blackwing Deck 2021,"['Droll & Lock Bird', 'The Phantom Knights of Rusty Bardiche', 'Raidraptor - Wise Strix', 'Predaplant Verte Anaconda', 'Time Thief Redoer', 'Raidraptor - Ultimate Falcon', 'Raidraptor - Force Strix', 'Raidraptor - Arsenal Falcon', ""Raider's Knight"", 'Number 24: Dragulas the Vampiric Dragon', 'Arc Rebellion Xyz Dragon', 'Blackwing Full Armor Master', 'Red-Eyes Dark Dragoon', 'The Phantom Knights of Shade Brigandine', ""Phantom Knights' Fog Blade"", 'Red-Eyes Fusion', 'Rank-Up-Magic Soul Shave Force', ""Phantom Knights' Rank-Up-Magic Force"", 'Black Whirlwind', 'Red-Eyes Black Dragon', 'Dark Magician', 'The Phantom Knights of Silent Boots', 'The Phantom Knights of Ancient Cloak', 'Raidraptor - Strangle Lanius', 'Blackwing - Zephyros the Elite', 'Blackwing - Simoon the Poison Wind', 'Blackwing - Oroshi the Squall', 'Blackwing - Kris the Crack of Dawn', 'Blackwing - Harmattan the Dust', 'Blackwing - Gale the Whirlwind', 'Blackwing - Bora the Spear', 'Blackwing - Auster the South Wind']"
Blue Eyes White Dragon 2019 Pure Build,"['Dragon Revival Rhapsody', 'Maiden with Eyes of Blue', 'Master with Eyes of Blue', 'Ghost Ogre & Snow Rabbit', 'Gameciel, the Sea Turtle Kaiju', 'Hip Hoshiningen', 'Number 90: Galaxy-Eyes Photon Lord', 'Black Rose Moonlight Dragon', 'Crystal Wing Synchro Dragon', ""Silver's Cry"", 'Glow-Up Bulb', 'Amorphage Goliath', 'Blue-Eyes White Dragon']"
Blue-Eyes 2022,"['Skill Drain', 'Royal Decree', 'Imperial Order', 'A Wingbeat of Giant Dragon', 'Lightning Storm', 'First of the Dragons', 'Nibiru, the Primal Being', 'Predaplant Verte Anaconda', 'Relinquished Anima', 'Hieratic Seal of the Heavenly Spheres', 'Accesscode Talker', 'Selene, Queen of the Master Magicians', 'Crystron Halqifibrax', 'Number 100: Numeron Dragon', 'Number 97: Draglubion', 'Virtual World Kyubi - Shenshen', 'Blue-Eyes Alternative Ultimate Dragon', ""Ice Dragon's Prison"", 'True Light', 'Destined Rivals', 'Pot of Avarice', 'Upstart Goblin', ""Harpie's Feather Duster"", 'Polymerization', 'Gameciel, the Sea Turtle Kaiju', 'Nebula Dragon', 'Chaos Dragon Levianeer', 'Blue-Eyes Abyss Dragon']"
Blue-Eyes Chaos MAX Dragon,"['Blue-Eyes Twin Burst Dragon', 'Blue-Eyes Alternative Ultimate Dragon', 'Linkuriboh', 'Crystron Halqifibrax', 'Selene, Queen of the Master Magicians', 'Accesscode Talker', 'Dingirsu, the Orcust of the Evening Star', 'Number 100: Numeron Dragon', 'Number 38: Hope Harbinger Dragon Titanic Galaxy', 'Number 97: Draglubion', 'Stardust Spark Dragon', 'Azure-Eyes Silver Dragon', 'Blue-Eyes Spirit Dragon', 'True Light', 'The Ultimate Creature of Destruction', 'Trade-In', 'The Melody of Awakening Dragon', 'Bingo Machine, Go!!!', 'Cards of Consonance', 'Piercing the Darkness', 'Chaos Form', 'Polymerization', 'One for One', 'Blue-Eyes Chaos MAX Dragon', 'Nebula Dragon', 'Chaos Dragon Levianeer', 'The White Stone of Ancients', 'The White Stone of Legend', 'Sage with Eyes of Blue', 'Blue-Eyes Abyss Dragon', 'Blue-Eyes Alternative White Dragon', 'Blue-Eyes White Dragon']"
Blue-Eyes Chaos MAX Dragon OTK 2020,"['Twin Twisters', 'Evenly Matched', 'The Winged Dragon of Ra - Sphere Mode', 'Gizmek Kaku, the Supreme Shining Sky Stag', 'Creature Swap', 'Dark Ruler No More', 'Number 22: Zombiestein', 'Knightmare Cerberus', 'Knightmare Phoenix', 'Knightmare Unicorn', 'Number 77: The Seven Sins', 'Number 84: Pain Gainer', 'Number 23: Lancelot, Dark Knight of the Underworld', ""Shien's Spy"", 'Advanced Ritual Art', 'Chaos Form', 'Bingo Machine, Go!!!', 'Pot of Extravagance', 'The Melody of Awakening Dragon', 'Blue-Eyes Chaos Dragon', 'Blue-Eyes Chaos MAX Dragon', 'Impcantation Penciplume', 'Impcantation Candoll', 'Impcantation Bookstone', 'Impcantation Talismandra', 'Blue-Eyes Alternative White Dragon', 'Blue-Eyes White Dragon']"
"Blue-Eyes Meta Deck 2020 , New Rules",['Deep-Eyes White Dragon']
Blue-eyes Chaos Max Dragon DECK,"['Number 23: Lancelot, Dark Knight of the Underworld', 'Divine Dragon Knight Felgrand', 'Hieratic Sun Dragon Overlord of Heliopolis', 'Number 46: Dragluon', 'Blue-Eyes Spirit Dragon', 'Azure-Eyes Silver Dragon', 'Vermillion Dragon Mech', 'Blue-Eyes Twin Burst Dragon', 'Neo Blue-Eyes Ultimate Dragon', 'Blue-Eyes Alternative Ultimate Dragon', 'Chaos Form', 'Advanced Ritual Art', ""Silver's Cry"", 'The Melody of Awakening Dragon', 'Return of the Dragon Lords', 'Blue-Eyes Chaos MAX Dragon', 'Sage with Eyes of Blue', 'The White Stone of Ancients', 'Ghost Ogre & Snow Rabbit', 'Manju of the Ten Thousand Hands', 'Assault Wyvern', 'Dragon Spirit of White', 'Blue-Eyes Alternative White Dragon', 'Blue-Eyes White Dragon']"
